Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.363600E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.363700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.363800E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.363900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.364000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.364100E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.364200E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.364300E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.364400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.364500E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.364600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.364700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.364800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.364900E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.365000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.365100E-01,+1.204000E+01,+1.280000E+01,+1.052000E+01
+4.365200E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.365300E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.365400E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.365500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.365600E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.365700E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.365800E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.365900E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.366000E-01,+1.188000E+01,+1.240000E+01,+1.052000E+01
+4.366100E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.366200E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.366300E-01,+1.244000E+01,+1.288000E+01,+1.052000E+01
+4.366400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.366500E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.366600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.366700E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.366800E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.366900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.367000E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.367100E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.367200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.367300E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.367400E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.367500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.367600E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.367700E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.367800E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.367900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.368000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.368100E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.368200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.368300E-01,+1.204000E+01,+1.280000E+01,+1.052000E+01
+4.368400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
